Timestamp,Right shoulder angle,Left shoulder angle,Right elbow angle,Left elbow angle,Feedback
2023-08-15 13:28:23.919,56.0,54.0,1.0,19.0,
2023-08-15 13:28:23.994,56.0,54.0,1.0,19.0,
2023-08-15 13:28:24.074,56.0,54.0,1.0,19.0,
2023-08-15 13:28:24.149,56.0,54.0,1.0,19.0,
2023-08-15 13:28:24.223,54.0,54.0,1.0,19.0,
2023-08-15 13:28:24.296,51.0,51.0,1.0,19.0,
2023-08-15 13:28:24.379,47.0,46.0,1.0,25.0,
2023-08-15 13:28:24.456,32.0,27.0,70.0,97.0,
2023-08-15 13:28:24.532,28.0,19.0,126.0,138.0,
2023-08-15 13:28:24.611,17.0,11.0,165.0,170.0,
2023-08-15 13:28:24.690,13.0,3.0,174.0,175.0,
2023-08-15 13:28:24.764,11.0,9.0,177.0,179.0,
2023-08-15 13:28:24.838,11.0,11.0,176.0,179.0,
2023-08-15 13:28:24.912,13.0,12.0,178.0,179.0,
2023-08-15 13:28:24.985,13.0,14.0,176.0,178.0,
2023-08-15 13:28:25.066,14.0,15.0,173.0,176.0,
2023-08-15 13:28:25.145,14.0,13.0,174.0,176.0,
2023-08-15 13:28:25.220,13.0,12.0,176.0,178.0,
2023-08-15 13:28:25.297,13.0,12.0,177.0,178.0,
2023-08-15 13:28:25.374,13.0,12.0,177.0,179.0,
2023-08-15 13:28:25.449,13.0,12.0,179.0,177.0,
2023-08-15 13:28:25.533,17.0,15.0,161.0,140.0,
2023-08-15 13:28:25.619,20.0,23.0,111.0,106.0,
2023-08-15 13:28:25.696,27.0,31.0,85.0,91.0,
2023-08-15 13:28:25.771,36.0,42.0,29.0,52.0,
2023-08-15 13:28:25.848,50.0,51.0,20.0,40.0,
2023-08-15 13:28:25.925,56.0,55.0,13.0,26.0,
2023-08-15 13:28:26.000,62.0,59.0,3.0,16.0,
2023-08-15 13:28:26.078,63.0,60.0,7.0,12.0,
2023-08-15 13:28:26.154,64.0,62.0,9.0,8.0,You are doing great! Now you can speed up your movement to achieve better training effect
2023-08-15 13:28:26.237,63.0,64.0,10.0,5.0,
2023-08-15 13:28:26.319,63.0,64.0,11.0,4.0,
2023-08-15 13:28:26.397,62.0,64.0,11.0,4.0,
2023-08-15 13:28:26.475,63.0,63.0,10.0,5.0,
2023-08-15 13:28:26.551,63.0,63.0,10.0,7.0,
2023-08-15 13:28:26.640,63.0,63.0,10.0,7.0,
2023-08-15 13:28:26.719,62.0,63.0,10.0,7.0,
2023-08-15 13:28:26.791,62.0,62.0,10.0,8.0,
2023-08-15 13:28:26.867,62.0,62.0,9.0,9.0,
2023-08-15 13:28:26.947,63.0,62.0,9.0,10.0,
2023-08-15 13:28:27.023,63.0,62.0,9.0,11.0,
