Timestamp,Right shoulder angle,Left shoulder angle,Right elbow angle,Left elbow angle,Feedback
2023-08-15 14:31:21.536,107.0,83.0,8.0,4.0,
2023-08-15 14:31:21.614,100.0,77.0,6.0,1.0,
2023-08-15 14:31:21.690,84.0,66.0,1.0,4.0,
2023-08-15 14:31:21.770,67.0,56.0,16.0,9.0,
2023-08-15 14:31:21.850,54.0,45.0,37.0,19.0,
2023-08-15 14:31:21.930,43.0,38.0,67.0,58.0,
2023-08-15 14:31:22.007,35.0,32.0,95.0,99.0,
2023-08-15 14:31:22.083,25.0,25.0,140.0,143.0,
2023-08-15 14:31:22.163,21.0,20.0,152.0,156.0,
2023-08-15 14:31:22.243,15.0,17.0,163.0,164.0,
2023-08-15 14:31:22.319,13.0,16.0,170.0,168.0,
2023-08-15 14:31:22.398,12.0,14.0,173.0,171.0,
2023-08-15 14:31:22.479,11.0,13.0,175.0,173.0,
2023-08-15 14:31:22.553,11.0,13.0,175.0,174.0,
2023-08-15 14:31:22.638,11.0,13.0,176.0,174.0,
2023-08-15 14:31:22.722,11.0,13.0,177.0,174.0,
2023-08-15 14:31:22.798,11.0,13.0,177.0,174.0,
2023-08-15 14:31:22.876,11.0,13.0,176.0,174.0,
2023-08-15 14:31:22.951,11.0,13.0,176.0,174.0,
2023-08-15 14:31:23.028,11.0,13.0,176.0,174.0,
2023-08-15 14:31:23.105,12.0,13.0,175.0,173.0,
2023-08-15 14:31:23.179,12.0,14.0,174.0,173.0,
2023-08-15 14:31:23.260,16.0,16.0,167.0,171.0,
2023-08-15 14:31:23.337,23.0,21.0,154.0,160.0,
2023-08-15 14:31:23.417,35.0,31.0,109.0,113.0,
2023-08-15 14:31:23.493,43.0,38.0,59.0,49.0,
2023-08-15 14:31:23.567,51.0,44.0,33.0,19.0,
2023-08-15 14:31:23.645,63.0,51.0,11.0,5.0,
2023-08-15 14:31:23.719,78.0,59.0,0.0,4.0,
2023-08-15 14:31:23.793,89.0,64.0,3.0,2.0,
2023-08-15 14:31:23.876,101.0,74.0,12.0,10.0,
2023-08-15 14:31:23.953,104.0,81.0,15.0,15.0,
2023-08-15 14:31:24.030,105.0,83.0,17.0,16.0,You are doing great! Now you can speed up your movement to achieve better training effect
2023-08-15 14:31:24.114,104.0,85.0,19.0,17.0,
2023-08-15 14:31:24.190,105.0,85.0,19.0,18.0,
2023-08-15 14:31:24.267,107.0,85.0,19.0,18.0,
2023-08-15 14:31:24.342,109.0,89.0,20.0,18.0,
2023-08-15 14:31:24.420,109.0,89.0,20.0,19.0,
2023-08-15 14:31:24.503,108.0,88.0,19.0,19.0,
2023-08-15 14:31:24.579,108.0,88.0,18.0,17.0,
2023-08-15 14:31:24.659,108.0,87.0,18.0,17.0,
2023-08-15 14:31:24.742,108.0,87.0,18.0,17.0,
2023-08-15 14:31:24.823,109.0,86.0,18.0,16.0,
2023-08-15 14:31:24.898,109.0,85.0,18.0,16.0,
2023-08-15 14:31:24.982,109.0,85.0,18.0,15.0,
2023-08-15 14:31:25.058,108.0,85.0,17.0,15.0,
2023-08-15 14:31:25.136,108.0,84.0,17.0,14.0,
2023-08-15 14:31:25.212,84.0,72.0,4.0,5.0,
2023-08-15 14:31:25.287,63.0,57.0,14.0,4.0,
2023-08-15 14:31:25.364,45.0,46.0,31.0,12.0,
2023-08-15 14:31:25.442,34.0,37.0,70.0,42.0,
2023-08-15 14:31:25.524,30.0,32.0,119.0,95.0,
2023-08-15 14:31:25.601,23.0,24.0,146.0,143.0,
2023-08-15 14:31:25.679,14.0,17.0,166.0,165.0,
2023-08-15 14:31:25.761,11.0,14.0,173.0,171.0,
2023-08-15 14:31:25.837,11.0,13.0,176.0,174.0,
2023-08-15 14:31:25.914,11.0,13.0,176.0,175.0,
2023-08-15 14:31:25.991,11.0,13.0,178.0,175.0,
2023-08-15 14:31:26.068,11.0,13.0,178.0,174.0,
2023-08-15 14:31:26.150,11.0,13.0,178.0,174.0,
2023-08-15 14:31:26.227,11.0,13.0,178.0,174.0,
2023-08-15 14:31:26.302,11.0,13.0,177.0,174.0,
2023-08-15 14:31:26.384,11.0,13.0,177.0,173.0,
2023-08-15 14:31:26.459,11.0,13.0,177.0,173.0,
2023-08-15 14:31:26.543,11.0,14.0,176.0,173.0,
2023-08-15 14:31:26.631,12.0,14.0,175.0,174.0,
2023-08-15 14:31:26.708,16.0,16.0,170.0,173.0,
2023-08-15 14:31:26.789,23.0,21.0,161.0,165.0,
2023-08-15 14:31:26.870,30.0,27.0,146.0,152.0,
2023-08-15 14:31:26.946,36.0,30.0,119.0,131.0,
2023-08-15 14:31:27.022,49.0,39.0,22.0,10.0,
2023-08-15 14:31:27.101,61.0,48.0,6.0,0.0,
2023-08-15 14:31:27.179,77.0,59.0,4.0,8.0,
2023-08-15 14:31:27.257,90.0,67.0,12.0,11.0,
2023-08-15 14:31:27.332,98.0,74.0,18.0,16.0,
2023-08-15 14:31:27.411,102.0,82.0,21.0,21.0,
2023-08-15 14:31:27.492,104.0,84.0,22.0,21.0,
2023-08-15 14:31:27.569,104.0,85.0,22.0,22.0,
2023-08-15 14:31:27.647,105.0,85.0,22.0,20.0,
2023-08-15 14:31:27.727,106.0,86.0,21.0,20.0,
2023-08-15 14:31:27.811,106.0,85.0,19.0,19.0,
2023-08-15 14:31:27.887,105.0,85.0,19.0,17.0,
2023-08-15 14:31:27.970,105.0,84.0,18.0,16.0,
2023-08-15 14:31:28.048,105.0,83.0,18.0,16.0,
2023-08-15 14:31:28.124,104.0,82.0,17.0,15.0,
2023-08-15 14:31:28.203,102.0,81.0,16.0,13.0,
2023-08-15 14:31:28.284,80.0,69.0,4.0,4.0,
2023-08-15 14:31:28.362,59.0,54.0,14.0,6.0,
2023-08-15 14:31:28.440,43.0,40.0,45.0,18.0,
2023-08-15 14:31:28.517,33.0,33.0,113.0,118.0,
2023-08-15 14:31:28.599,26.0,24.0,144.0,153.0,
2023-08-15 14:31:28.677,15.0,15.0,170.0,172.0,
2023-08-15 14:31:28.757,13.0,14.0,176.0,175.0,
